convertedManaCost,toughness,power,edhrecRank,num_rulings,num_sets_printed,colour_U,colour_R,colour_W,colour_G,colour_B,colour_[],rarity_common,rarity_uncommon,rarity_rare,rarity_mythic,prices.paper.2019-08-11
3,2,2,9336,1,2,1,0,0,0,0,0,0,1,0,0,0.3
5,4,4,12195,0,31,0,1,0,0,0,0,0,1,0,0,0.23
5,4,4,12195,0,31,0,0,1,0,0,0,0,1,0,0,0.23
4,3,2,12698,0,3,0,0,0,1,0,0,1,0,0,0,0.17
4,3,2,12698,0,3,0,0,0,0,1,0,1,0,0,0,0.17
7,4,4,14526,0,3,0,1,0,0,1,0,0,1,0,0,0.24
7,4,4,14526,0,3,1,1,1,1,1,0,0,1,0,0,0.24
5,3,3,11111,0,11,0,0,0,1,1,0,0,1,0,0,0.25
5,3,3,11111,0,11,1,0,1,0,0,0,0,1,0,0,0.25
2,4,0,4601,0,5,0,0,1,1,0,0,1,0,0,0,0.2
2,4,0,4601,0,5,1,0,0,1,0,0,1,0,0,0,0.2
8,8,8,8916,1,2,1,0,0,0,1,0,0,0,1,0,0.77
8,8,8,8916,1,2,1,1,0,0,0,0,0,0,1,0,0.77
4,2,2,8070,0,4,0,1,0,1,0,0,1,0,0,0,0.18
4,2,2,8070,0,4,0,1,1,0,0,0,1,0,0,0,0.18
4,2,2,15184,0,4,0,0,1,0,1,0,1,0,0,0,0.19
4,2,2,15184,0,4,1,0,1,1,0,0,1,0,0,0,0.19
5,3,3,16067,0,4,0,1,0,1,1,0,1,0,0,0,0.16
5,3,3,16067,0,4,0,1,1,1,0,0,1,0,0,0,0.16
4,2,2,10893,0,3,1,1,0,0,1,0,0,1,0,0,0.25
3,2,2,11157,0,3,1,0,1,0,1,0,1,0,0,0,0.19
3,2,2,11157,0,3,1,0,0,1,1,0,1,0,0,0,0.19
1,1,0,77,0,28,1,1,0,1,0,0,0,0,1,0,8.36
1,1,0,77,0,28,0,1,1,0,1,0,0,0,1,0,8.36
8,6,6,7229,0,4,1,1,1,0,0,0,0,0,1,0,0.39
3,3,3,18010,1,3,0,0,1,1,1,0,1,0,0,0,0.17
4,3,3,16864,0,21,0,0,0,0,0,1,0,1,0,0,0.23
4,3,3,16864,0,21,1,1,0,1,1,0,0,1,0,0,0.23
3,1,2,15077,1,3,0,1,1,1,1,0,1,0,0,0,0.16
2,3,1,9932,1,8,1,1,1,1,0,0,1,0,0,0,0.17
2,3,1,9932,1,8,1,0,1,1,1,0,1,0,0,0,0.17
3,1,1,5078,0,3,1,1,1,0,1,0,0,0,1,0,1.16
3,2,2,4639,0,7,0,0,0,0,0,0,1,0,0,0,0.19
4,0,0,1241,1,16,0,0,0,0,0,0,0,0,1,0,0.56
3,3,2,18234,0,6,0,0,0,0,0,0,1,0,0,0,0.17
3,3,2,18234,0,6,0,0,0,0,0,0,1,0,0,0,0.17
1,1,1,5557,0,4,0,0,0,0,0,0,1,0,0,0,0.2
1,1,1,5557,0,4,0,0,0,0,0,0,1,0,0,0,0.2
3,1,1,14546,1,3,0,0,0,0,0,0,1,0,0,0,0.18
6,4,6,13903,0,15,0,0,0,0,0,0,1,0,0,0,0.19
8,11,11,11453,0,5,0,0,0,0,0,0,0,0,1,0,0.43
3,2,2,3795,0,4,0,0,0,0,0,0,0,0,1,0,3.88
4,2,2,2423,0,4,0,0,0,0,0,0,0,0,1,0,1.15
4,1,5,17443,0,2,0,0,0,0,0,0,1,0,0,0,0.16
2,1,1,11163,0,21,0,0,0,0,0,0,0,1,0,0,0.24
2,1,1,11163,0,21,0,0,0,0,0,0,0,1,0,0,0.24
1,1,1,17628,0,2,0,0,0,0,0,0,1,0,0,0,0.18
3,1,2,17445,0,7,0,0,0,0,0,0,1,0,0,0,0.17
3,1,2,17445,0,7,0,0,0,0,0,0,1,0,0,0,0.17
5,5,4,17086,0,16,0,0,0,0,0,0,0,1,0,0,0.25
5,3,3,13236,1,12,0,0,0,0,0,0,0,1,0,0,0.25
1,1,1,14335,0,3,0,0,0,0,0,0,1,0,0,0,0.18
3,2,2,2301,1,13,0,0,0,0,0,0,0,0,1,0,6.96
3,2,2,2301,1,13,0,0,0,0,0,0,0,0,1,0,6.96
4,1,1,1238,1,7,0,0,0,0,0,0,0,0,1,0,4.73
7,7,7,12960,0,6,0,0,0,0,0,0,0,1,0,0,0.25
3,2,2,13822,0,4,0,0,0,0,0,0,0,1,0,0,0.25
1,1,1,10271,0,7,0,0,0,0,0,0,1,0,0,0,0.19
3,2,2,4989,0,2,0,0,0,0,0,0,0,0,1,0,5.93
3,2,2,4989,0,2,0,0,0,0,0,0,0,0,1,0,5.93
3,2,2,11971,0,7,0,0,0,0,0,0,0,1,0,0,0.24
3,4,4,18271,0,4,0,0,0,0,0,0,0,1,0,0,0.24
3,4,4,18271,0,4,0,0,0,0,0,0,0,1,0,0,0.24
1,1,1,14863,0,5,0,0,0,0,0,0,1,0,0,0,0.18
4,2,2,8313,0,11,0,0,0,0,0,0,0,1,0,0,0.25
4,2,2,8313,0,11,0,0,0,0,0,0,0,1,0,0,0.25
2,1,1,3010,1,5,0,0,0,0,0,0,0,0,1,0,1.99
2,1,1,15965,0,2,0,0,0,0,0,0,1,0,0,0,0.18
4,4,2,8708,1,28,0,0,0,0,0,0,1,0,0,0,0.17
4,4,2,8708,1,28,0,0,0,0,0,0,1,0,0,0,0.17
2,2,2,16724,0,4,0,0,0,0,0,0,1,0,0,0,0.16
3,2,2,1860,1,17,0,0,0,0,0,0,0,0,1,0,5.79
3,2,2,1860,1,17,0,0,0,0,0,0,0,0,1,0,5.79
2,1,2,14351,0,8,0,0,0,0,0,0,1,0,0,0,0.17
3,2,1,12369,0,5,0,0,0,0,0,0,1,0,0,0,0.18
3,2,1,12369,0,5,0,0,0,0,0,0,1,0,0,0,0.18
4,3,3,1942,0,2,0,0,0,0,0,0,0,0,1,0,2.56
4,2,2,2288,1,25,0,0,0,0,0,0,1,0,0,0,0.18
2,2,2,5816,0,20,0,0,0,0,0,0,1,0,0,0,0.19
2,1,2,18528,0,2,0,0,0,0,0,0,0,1,0,0,0.24
